ws,text type,value,word,frq,fpm
is a type of,Genre,News,andgt,3,0.1048363195784238
is a type of,Genre,News,impact,3,0.1048363195784238
is a type of,Genre,News,MIKE21,3,0.1048363195784238
is a type of,Genre,News,term,3,0.1048363195784238
is a type of,Genre,News,Netherlands,2,0.06989087971894921
is a type of,Genre,News,Italy,2,0.06989087971894921
is a type of,Genre,News,England,2,0.06989087971894921
is a type of,Genre,News,vegetation,2,0.06989087971894921
is a type of,Genre,News,road,2,0.06989087971894921
is a type of,Genre,News,choice,2,0.06989087971894921
is a type of,Genre,News,generation,2,0.06989087971894921
is a type of,Genre,News,Cascades,2,0.06989087971894921
is a type of,Genre,News,Rockies,2,0.06989087971894921
is a type of,Genre,News,NASA,2,0.06989087971894921
is a type of,Genre,News,sill,2,0.06989087971894921
is a type of,Genre,News,Germany,2,0.06989087971894921
is a type of,Genre,News,Denmark,2,0.06989087971894921
is a type of,Genre,News,run-up,2,0.06989087971894921
is a type of,Genre,News,garden,2,0.06989087971894921
is a type of,Genre,News,scientist,2,0.06989087971894921
is a type of,Genre,News,justification,2,0.06989087971894921
is a type of,Genre,News,propagation,2,0.06989087971894921
is a type of,Genre,News,ant,2,0.06989087971894921
is a type of,Genre,News,port,2,0.06989087971894921
is a type of,Genre,News,subsidence,2,0.06989087971894921
is a type of,Genre,News,increase,2,0.06989087971894921
is a type of,Genre,News,closed-basin,2,0.06989087971894921
is a type of,Genre,News,Joppa,2,0.06989087971894921
is a type of,Genre,News,death,2,0.06989087971894921
is a type of,Genre,News,Niña,2,0.06989087971894921
is a type of,Genre,News,warming,2,0.06989087971894921
is a type of,Genre,News,operation,2,0.06989087971894921
is a type of,Genre,News,SW,2,0.06989087971894921
is a type of,Genre,News,condition,2,0.06989087971894921
is a type of,Genre,News,La,2,0.06989087971894921
is a type of,Genre,News,link,2,0.06989087971894921
is a type of,Genre,News,year,2,0.06989087971894921
is a type of,Genre,News,description,2,0.06989087971894921
is a type of,Genre,News,US,2,0.06989087971894921
is a type of,Genre,News,level,2,0.06989087971894921
is a type of,Genre,News,boundary,2,0.06989087971894921
is a type of,Genre,News,rail,2,0.06989087971894921
is a type of,Genre,News,Poland,2,0.06989087971894921
is a type of,Genre,News,open-basin,2,0.06989087971894921
is a type of,Genre,News,freak,2,0.06989087971894921
is a type of,Genre,News,thundersnow,2,0.06989087971894921
is a type of,Genre,News,review,2,0.06989087971894921
is a type of,Genre,News,school,2,0.06989087971894921
is a type of,Genre,News,dune,2,0.06989087971894921
is a type of,Genre,Report,beach,261,9.120759803322871
is a type of,Genre,Report,water,217,7.583160449505988
is a type of,Genre,Report,wave,192,6.709524453019124
is a type of,Genre,Report,sediment,149,5.206870539061716
is a type of,Genre,Report,sand,144,5.0321433397643425
is a type of,Genre,Report,change,138,4.822470700607496
is a type of,Genre,Report,Commission,136,4.752579820888546
is a type of,Genre,Report,erosion,125,4.368179982434325
is a type of,Genre,Report,area,121,4.228398222996426
is a type of,Genre,Report,project,121,4.228398222996426
is a type of,Genre,Report,dune,111,3.8789438244016807
is a type of,Genre,Report,transport,109,3.8090529446827315
is a type of,Genre,Report,development,109,3.8090529446827315
is a type of,Genre,Report,level,104,3.634325745385359
is a type of,Genre,Report,climate,104,3.634325745385359
is a type of,Genre,Report,management,95,3.319816786650087
is a type of,Genre,Report,use,91,3.1800350272121887
is a type of,Genre,Report,Services,87,3.0402532677742906
is a type of,Genre,Report,construction,87,3.0402532677742906
is a type of,Genre,Report,waste,84,2.9354169481958667
is a type of,Genre,Report,land,82,2.8655260684769175
is a type of,Genre,Report,monitoring,82,2.8655260684769175
is a type of,Genre,Report,breakwater,80,2.795635188757968
is a type of,Genre,Report,impact,78,2.725744309039019
is a type of,Genre,Report,planning,78,2.725744309039019
is a type of,Genre,Report,forest,77,2.6907988691795444
is a type of,Genre,Report,reef,76,2.6558534293200697
is a type of,Genre,Report,storm,76,2.6558534293200697
is a type of,Genre,Report,risk,74,2.5859625496011205
is a type of,Genre,Report,site,73,2.551017109741646
is a type of,Genre,Report,flood,73,2.551017109741646
is a type of,Genre,Report,river,72,2.5160716698821712
is a type of,Genre,Report,Coastal,72,2.5160716698821712
is a type of,Genre,Report,system,72,2.5160716698821712
is a type of,Genre,Report,datum,71,2.4811262300226966
is a type of,Genre,Report,source,69,2.411235350303748
is a type of,Genre,Report,energy,66,2.306399030725324
is a type of,Genre,Report,protection,64,2.2365081510063747
is a type of,Genre,Report,road,64,2.2365081510063747
is a type of,Genre,Report,type,63,2.2015627111468996
is a type of,Genre,Report,group,62,2.166617271287425
is a type of,Genre,Report,Management,62,2.166617271287425
is a type of,Genre,Report,measure,61,2.1316718314279504
is a type of,Genre,Report,Contract,61,2.1316718314279504
is a type of,Genre,Report,information,60,2.0967263915684757
is a type of,Genre,Report,material,60,2.0967263915684757
is a type of,Genre,Report,Re,58,2.026835511849527
is a type of,Genre,Report,assessment,58,2.026835511849527
is a type of,Genre,Report,structure,58,2.026835511849527
is a type of,Genre,Report,Europe,58,2.026835511849527
is a type of,Genre,Report,estuary,56,1.9569446321305777
is a type of,Genre,Report,nourishment,56,1.9569446321305777
is a type of,Genre,Report,quality,56,1.9569446321305777
is a type of,Genre,Report,soil,56,1.9569446321305777
is a type of,Genre,Report,g,55,1.921999192271103
is a type of,Genre,Report,groyne,55,1.921999192271103
is a type of,Genre,Report,gas,54,1.8870537524116284
is a type of,Genre,Report,Netherlands,54,1.8870537524116284
is a type of,Genre,Report,plant,53,1.852108312552154
is a type of,Genre,Report,process,52,1.8171628726926794
is a type of,Genre,Report,heat,52,1.8171628726926794
is a type of,Genre,Report,loss,51,1.7822174328332048
is a type of,Genre,Report,model,50,1.7472719929737301
is a type of,Genre,Report,[number],50,1.7472719929737301
is a type of,Genre,Report,coast,50,1.7472719929737301
is a type of,Genre,Report,www,49,1.7123265531142553
is a type of,Genre,Report,defence,49,1.7123265531142553
is a type of,Genre,Report,basin,48,1.677381113254781
is a type of,Genre,Report,European,48,1.677381113254781
is a type of,Genre,Report,National,48,1.677381113254781
is a type of,Genre,Report,value,48,1.677381113254781
